time,x_true,y_true,theta_true,x_est,y_est,theta_est
20.813564051,1.2468858185654434,-0.31050103592297545,0.8078794636291512,1.2760142569586468,-0.2673940987655984,0.807254296139158
20.831593325,1.2496378565283197,-0.307622391570406,0.8078794636295847,1.2791185300018515,-0.26445743574180874,0.8071835372593266
20.883310191,1.2527555890273239,-0.3043612290529714,0.8078794636300821,1.2820888528606293,-0.2617592603018529,0.8071382723914666
20.917926101000003,1.2551997718961068,-0.3018046025431654,0.8078794636304588,1.2848585089067155,-0.25937940817892713,0.8071146693661825
20.971161151,1.2575040206312318,-0.29939434778004875,0.807879463630892,1.287420496710293,-0.2573174591745887,0.8071092033511965
20.993174098,1.2600844060569343,-0.296695252769959,0.8078794636313256,1.2898067843168992,-0.25552636532265677,0.8071186645309955
21.054074306,1.262080799697972,-0.29460701584960153,0.8078794636317521,1.291968376624188,-0.25405698608221905,0.8071401586885849
21.093071527000003,1.2642917590107738,-0.29229434225081896,0.8078794636321924,1.293932280209037,-0.25286824328360996,0.8071711019735541
21.13546384,1.2659802975577443,-0.2905281231732005,0.8078794636326259,1.2956609878429504,-0.2519937425587264,0.8072092110116019
21.154867241,1.2675289019710283,-0.2889082758423029,0.8078794636330024,1.2971547320391892,-0.2514208840518991,0.8072524893842753
21.197622601000003,1.269202514210531,-0.2871576697508675,0.8078794636334926,1.2984321769765217,-0.25112133626947086,0.8072992113856883
21.224603413,1.2704432635297533,-0.28585984026270456,0.807879463633926,1.2994714239925949,-0.2511073176250776,0.8073479038465243
21.244159216,1.2715440787152892,-0.28470838252126274,0.8078794636343027,1.3002753544654766,-0.25136439470160166,0.80739732670678
21.306447693000003,1.272680343881494,-0.28351984393717594,0.8078794636347362,1.300853180609771,-0.25188010382067344,0.8074464529168691
21.328695821,1.2734733039729693,-0.2826904040384696,0.8078794636351695,1.3011975678113712,-0.25264795895526926,0.8074944481529357
21.380964692000003,1.2742401430262709,-0.2818882868656976,0.8078794636356671,1.3013108120696708,-0.253667111398477,0.8075406507472563
21.416900326,1.2747252480236615,-0.2813808648097531,0.8078794636361003,1.3011952131088718,-0.2549187426207602,0.8075845521573382
21.456460457000002,1.275070418887391,-0.2810198145005046,0.8078794636364202,1.3008561306633397,-0.2563895370732441,0.8076257782287966
21.495089183,1.2752999108674021,-0.2807797648350783,0.8078794636369174,1.3002849833605397,-0.25809725599947786,0.8076640714460392
21.511693558,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2994989515966686,-0.26000360992602,0.8076992743112916
21.548583142000002,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2985471660754782,-0.26201804386057864,0.8077313139469964
21.567423089000002,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2974945668935913,-0.2640224020081927,0.80776018797705
21.613175069,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2963751379987962,-0.26596208163681584,0.8077859517084045
21.638299321,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2952081637292316,-0.26781385099844035,0.8078087066078444
21.675252121,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.294010815285641,-0.26956032027979876,0.8078285900462502
21.697436930000002,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.29279827087471,-0.27118918668648534,0.8078457662644135
21.743879008,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2915838384915244,-0.27269252573357294,0.8078604185009877
21.759858088,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2903790798477364,-0.2740661330988438,0.8078727422129321
21.796886859,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.28919393413929,-0.2753089196831786,0.8078829393117603
21.829633892,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.288036840522171,-0.2764223610765541,0.8078912133345175
21.892648803,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2869148583266616,-0.2774100014250352,0.8078977654663025
21.919468748,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2858337841901386,-0.2782770107113841,0.8079027913309197
21.966949867,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2847982654258403,-0.2790297936768845,0.8079064784675759
21.995858924,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2838119090705535,-0.2796756480026988,0.8079090044141036
22.039998322000002,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2828773861682528,-0.2802224689143812,0.8079105353207275
22.057919960000003,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2819965309498074,-0.28067849705299147,0.8079112250226601
22.094535001,1.2753409582138469,-0.28073682912211695,0.8078794636372941,1.2811704346614645,-0.2810521062517517,0.8079112145045951
22.133364642,1.2752849845610896,-0.28079537782005587,0.8078794636369245,1.2803749962068829,-0.2813966453712292,0.8079106316951697
22.160891389,1.2750890767748628,-0.28100029826449086,0.8078794636364912,1.2795492549723195,-0.28183176316932973,0.8079095915353668
22.208790232000002,1.2746692743749306,-0.2814394135034805,0.8078794636359938,1.2786221893018033,-0.2824893649260141,0.8079081962690897
22.239903712,1.2741655114946149,-0.28196635179068286,0.8078794636355034,1.2776034841638526,-0.28334775603357776,0.8079065359102844
22.272138059000003,1.2735218144806375,-0.28263966182458106,0.8078794636350061,1.2764795152296555,-0.28442523358807364,0.8079046888461449
22.316663027,1.2725646650074138,-0.2836408445709158,0.8078794636346296,1.2751981775142063,-0.28580251603430196,0.807902722540579
22.346449712000002,1.2716131128993466,-0.28463617244758055,0.8078794636340754,1.2737866320492677,-0.28742409235085215,0.807900694306651
22.380243653,1.2705216266576227,-0.28577787207093563,0.807879463633578,1.2722358546181203,-0.2892949662335922,0.8078986521220305
22.406692648,1.2690271301110962,-0.2873411223246242,0.8078794636331943,1.2704862939943047,-0.291501263227048,0.8078966354643851
22.429695793,1.2676277887752814,-0.2888048397907449,0.8078794636326473,1.2685817095540306,-0.2939593125295965,0.8078946761478207
22.461812412,1.2657638661158652,-0.2907545114557314,0.807879463632157,1.2664569909505878,-0.29676155536205634,0.8078927991457818
22.480721420000002,1.2640566696859832,-0.2925402467645914,0.8078794636317236,1.2641668610580137,-0.2998073679412377,0.8078910233872634
22.508501480000003,1.262209539122419,-0.2944723538201668,0.80787946363129,1.2617081066971696,-0.3030904264230152,0.8078893625171315
22.557542751,1.2598082693897026,-0.2969840929924994,0.8078794636307359,1.2590066579989478,-0.30671619285966933,0.8078878256132818
22.592417151000003,1.257653283732066,-0.2992382178908184,0.8078794636303592,1.2561323478619089,-0.3105627746283536,0.807886417855735
22.607596085,1.2553583639407515,-0.3016387145358471,0.807879463629805,1.2530842209390147,-0.3146220032992196,0.8078851411438529
22.663461559,1.2524197471347331,-0.3047125212155244,0.8078794636293148,1.2497784612659832,-0.3190150921984097,0.8078839946606345
